ticker,yahoo_ticker,sector,is_haram_sector,total_debt,total_assets,interest_income,total_revenue,accounts_receivable,cash_and_equivalents,market_cap,current_price,company_name,non_compliant_investments,business_screen,debt_ratio,debt_screen,interest_ratio,interest_screen,securities_ratio,securities_screen,receivables_ratio,receivables_screen,overall_status,purification_ratio,shariah_score
GLAXO,GLAXO.KA,Pharma,False,368113000.0,50683502000.0,518139000.0,65900901000.0,2812639000.0,8590696000.0,43636387840.0,137.02,GLAXO,8590696000.0,PASS,0.007262974843372109,PASS,0.007862396297131051,PASS,0.16949689072392826,PASS,0.05549417244293814,PASS,HALAL,0.007862396297131051,84
HINOON,HINOON.KA,Pharma,False,801702112.0,19436655050.0,55485042.0,27705637954.0,4400848568.0,584225906.0,37397778432.0,705.84,HINOON,584225906.0,PASS,0.041246917740611955,PASS,0.0020026624938982627,PASS,0.03005794487256695,PASS,0.22642005821881372,PASS,HALAL,0.0020026624938982627,86
FEROZ,FEROZ.KA,Pharma,False,4919712399.0,21749621603.0,12797078.0,15854750179.0,2416614379.0,551064343.0,10643397632.0,244.85,FEROZ,551064343.0,PASS,0.2261976088044404,PASS,0.0008071447266920698,PASS,0.0253367324295881,PASS,0.11111064013484576,PASS,HALAL,0.0008071447266920698,80
ABOT,ABOT.KA,Pharma,False,487978000.0,46816196000.0,546000000.0,75397732000.0,2978853000.0,13337551000.0,70338428928.0,718.47,ABOT,13337551000.0,PASS,0.010423273176658778,PASS,0.007241597134513277,PASS,0.28489181393550217,PASS,0.06362868525242846,PASS,HALAL,0.007241597134513277,77
TRG,TRG.KA,Tech,False,,40582030000.0,154443000.0,2562000.0,,31654000.0,29729243136.0,54.51,TRG,31654000.0,PASS,,FAIL,60.28220140515222,FAIL,0.0007800004090480441,PASS,,FAIL,HARAM,,40
NETSOL,NETSOL.KA,Tech,False,1596792000.0,13919353000.0,514589000.0,9579636000.0,5326984000.0,4669162000.0,12599262208.0,145.51,NETSOL,4669162000.0,PASS,0.11471740101713061,PASS,0.053716967951600664,FAIL,0.33544389599143004,FAIL,0.3827034201948898,PASS,DOUBTFUL,,37
SYSTEMS,SYSTEMS.KA,Tech,False,,,,,,,,,SYSTEMS,0.0,PASS,,FAIL,,FAIL,,FAIL,,FAIL,HARAM,,20
AVN,AVN.KA,Tech,False,455798000.0,28162524000.0,9751000.0,16156098000.0,8513544000.0,756748000.0,28630872064.0,67.78,AVN,756748000.0,PASS,0.016184557889768688,PASS,0.000603549198575052,PASS,0.026870744965898655,PASS,0.30230046142171063,PASS,HALAL,0.000603549198575052,85
AIRLINK,AIRLINK.KA,Tech,False,16418545915.0,40518217660.0,,129742418267.0,3527099204.0,2288039864.0,43839311872.0,110.91,AIRLINK,2288039864.0,PASS,0.4052139226056964,FAIL,,FAIL,0.05646941045629399,PASS,0.08704971264029683,PASS,DOUBTFUL,,53
ISL,ISL.KA,Steel,False,5443429000.0,50067519000.0,281682000.0,62310883000.0,1350948000.0,3436737000.0,36448649216.0,83.79,ISL,3436737000.0,PASS,0.10872176430391928,PASS,0.004520590728910068,PASS,0.06864204715236638,PASS,0.02698252334013195,PASS,HALAL,0.004520590728910068,86
ASTL,ASTL.KA,Steel,False,22129491000.0,46839908000.0,1825000.0,38775737000.0,2349962000.0,195444000.0,7152034816.0,24.08,ASTL,195444000.0,PASS,0.4724494975523863,FAIL,4.7065514189968846e-05,PASS,0.004172595727557791,PASS,0.05017008146130432,PASS,DOUBTFUL,,78
MUGHAL,MUGHAL.KA,Steel,False,35369085254.0,70184196879.0,127421927.0,91760862972.0,10805747538.0,3365879773.0,31652583424.0,85.85,MUGHAL,3365879773.0,PASS,0.503946569552937,FAIL,0.0013886304342939936,PASS,0.047957801366636625,PASS,0.1539626870224003,PASS,DOUBTFUL,,70
ASL,ASL.KA,Steel,False,19879250000.0,40597158000.0,269673000.0,42749652000.0,2119533000.0,217072000.0,6621713408.0,7.12,ASL,217072000.0,PASS,0.4896709764757425,FAIL,0.006308191701771046,PASS,0.005346975273490819,PASS,0.052208900928483716,PASS,DOUBTFUL,,75
INDU,INDU.KA,Auto,False,199912000.0,184774378000.0,627244000.0,215136582000.0,9913463000.0,5397774000.0,133097308160.0,1693.35,INDU,5397774000.0,PASS,0.001081924897617569,PASS,0.0029155617987832493,PASS,0.029212784036539957,PASS,0.053651718962896465,PASS,HALAL,0.0029155617987832493,95
PSMC,PSMC.KA,Auto,False,,,,,,,,,PSMC,0.0,PASS,,FAIL,,FAIL,,FAIL,,FAIL,HARAM,,20
HCAR,HCAR.KA,Auto,False,2635098000.0,49120650000.0,778295000.0,78065659000.0,7585110000.0,424263000.0,40992165888.0,287.06,HCAR,424263000.0,PASS,0.05364542203737125,PASS,0.009969748670154696,PASS,0.008637161763942455,PASS,0.15441794845955825,PASS,HALAL,0.009969748670154696,86
GHNI,GHNI.KA,Auto,False,1452234000.0,18057049000.0,120535000.0,14666195000.0,647175000.0,2322447000.0,14962522112.0,351.16,GHNI,2322447000.0,PASS,0.080424769296467,PASS,0.008218559755955788,PASS,0.12861719542323888,PASS,0.03584057394981871,PASS,HALAL,0.008218559755955788,83
SAZEW,SAZEW.KA,Auto,False,947661501.0,41736856678.0,2028587.0,108694499692.0,111137653.0,16596492181.0,67558039552.0,1117.66,SAZEW,16596492181.0,PASS,0.02270562702675987,PASS,1.8663198282785835e-05,PASS,0.39764595376796097,FAIL,0.002662817994594739,PASS,DOUBTFUL,,79
HBL,HBL.KA,Banking (Conventional),True,251471356000.0,7708144220000.0,681264637000.0,338112493000.0,,633732527000.0,207280914432.0,141.31,HBL,633732527000.0,FAIL,0.03262411143625437,PASS,2.014905249301155,FAIL,0.08221596650406211,PASS,,FAIL,HARAM,,33
MCB,MCB.KA,Banking (Conventional),True,31661733000.0,3578741706000.0,327508057000.0,198339260000.0,,253050143000.0,268866404352.0,226.88,MCB,253050143000.0,FAIL,0.008847169089324603,PASS,1.651251784442475,FAIL,0.07070925028641897,PASS,,FAIL,HARAM,,35
UBL,UBL.KA,Banking (Conventional),True,134632998000.0,12628514664000.0,1184861499000.0,412548639000.0,,605988376000.0,650077667328.0,259.59,UBL,605988376000.0,FAIL,0.01066103192513979,PASS,2.872052861141544,FAIL,0.047985720579434885,PASS,,FAIL,HARAM,,36
NBP,NBP.KA,Banking (Conventional),True,60271459000.0,7078396701000.0,781159921000.0,320826999000.0,,409471351000.0,101737676800.0,47.82,NBP,409471351000.0,FAIL,0.00851484616445489,PASS,2.4348322411606014,FAIL,0.05784803653942593,PASS,,FAIL,HARAM,,36
BAFL,BAFL.KA,Banking (Conventional),False,81124557000.0,3835085168000.0,356951918000.0,180583427000.0,,251692628000.0,205063012352.0,65.01,BAFL,251692628000.0,FAIL,0.021153260865470303,PASS,1.9766593420557912,FAIL,0.06562895397998629,PASS,,FAIL,HARAM,,35
