ticker,company_name,sector_raw
CECL,Climax Engineering Company Limited,CABLE & ELECTRICAL GOODS
CENI,Century Insurance Company Limited,INSURANCE
CEPB,Century Paper & Board Mills Limited,"PAPER, BOARD & PACKAGING"
CFL,Crescent Fibres Limited,TEXTILE SPINNING
CHAS,Chashma Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
CHBL,Chenab Limited,TEXTILE COMPOSITE
CHCC,Cherat Cement Company Limited,CEMENT
CJPL,Crescent Jute Products Limited,JUTE
CLCPS,Chenab Limited (Pref),TEXTILE COMPOSITE
CLOUD,Chakwal Spinning Mills Limited,TEXTILE SPINNING
CLOV,Clover Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS
CLVL,Cordoba Logistics & Ventures Limited,TRANSPORT
CNERGY,Cnergyico PK  Limited,REFINERY
COLG,Colgate-Palmolive (Pakistan) Limited,FOOD & PERSONAL CARE PRODUCTS
COST,(Colony) Sarhad Textile Mills Limited,
COTT,,TEXTILE COMPOSITE
CPAL,Capital Assets Leasing Corporation,LEASING COMPANIES
CPHL,Citi Pharma Ltd.,PHARMACEUTICALS
CPPL,Cherat Packaging Limited,"PAPER, BOARD & PACKAGING"
CRTM,The Crescent Textile Mills Limited,TEXTILE COMPOSITE
CSAP,Crescent Steel & Allied Products Limited,ENGINEERING
CSIL,Crescent Star Insurance Limited,INSURANCE
CSM,Cresent Standard Modaraba,MODARABAS
CTM,Colony Textile Mills Limited,TEXTILE SPINNING
CWSM,Chakwal Spinning Mills Limited,TEXTILE SPINNING
CYAN,Cyan Limited,INV. BANKS / INV. COS. / SECURITIES COS.
DAAG,Data Agro Limited,CHEMICAL
DADX,Dadex Eternit Limited,ENGINEERING
DATM,Data Textiles Limited,
DAWH,Dawood Hercules Corporation Limited,INV. BANKS / INV. COS. / SECURITIES COS.
DBCI,Dadabhoy Cement Industries Limited,CEMENT
DBSL,Dadabhoy Sack Limited,"PAPER, BOARD & PACKAGING"
DCL,Dewan Cement Limited,CEMENT
DCM,Dawood Capital Management Limited,INV. BANKS / INV. COS. / SECURITIES COS.
DCR,Dolmen City REIT,REAL ESTATE INVESTMENT TRUST
DCTL,Dadabhoy Construction Technology Limited,MISCELLANEOUS
DEL,Dawood Equities Limited,INV. BANKS / INV. COS. / SECURITIES COS.
DFML,Dewan Farooque Motors Limited,AUTOMOBILE ASSEMBLER
DFSM,Dewan Farooque Spinning Mills Limited,TEXTILE SPINNING
DGKC,D.G. Khan Cement Company Limited,CEMENT
DHPL,DH Partners Limited,INV. BANKS / INV. COS. / SECURITIES COS.
DIIL,Diamond Industries Limited,MISCELLANEOUS
DINT,Din Textile Mills Limited,TEXTILE SPINNING
DKL,Drekkar Kingsway Limited,ENGINEERING
DKTM,Dewan Khalid Textile Mills Limited,TEXTILE SPINNING
DLL,Dawood Lawrencepur Limited,INV. BANKS / INV. COS. / SECURITIES COS.
DMC,D.M. Corporation Limited.,TEXTILE SPINNING
DMIL,D.M. Industries Limited,TEXTILE SPINNING
DMTM,Dewan Mushtaq Textile Mills Limited,TEXTILE SPINNING
DMTX,D.M. Textile Mills Limited,TEXTILE SPINNING
DNCC,Dandot Cement Company Limited,CEMENT
DOL,Descon Oxychem Limited,CHEMICAL
DOLCPS,Descon Oxychem Limited (12%Non-Voting Pref),CHEMICAL
DSFL,Dewan Salman Fibre Limited,SYNTHETIC & RAYON
DSIL,D.S. Industries Limited,TEXTILE SPINNING
DSL,Dost Steels Limited,ENGINEERING
DSML,Dar-es-Salaam Textile Mills Limited,TEXTILE SPINNING
DWAE,Dewan Automotive Engineering Limited,AUTOMOBILE PARTS & ACCESSORIES
DWSM,Dewan Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
DWTM,Dewan Textile Mills Limited,TEXTILE SPINNING
DYNO,Dynea Pakistan Limited,CHEMICAL
ECOP,Ecopack Limited,MISCELLANEOUS
EFERT,Engro Fertilizers Limited,FERTILIZER
EFGH,EFG Hermes Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.
EFOODS,Engro Foods Limited,
EFUG,EFU General Insurance Limited,INSURANCE
EFUL,EFU Life Assurance Limited,INSURANCE
ELCM,Elahi Cotton Mills Limited,TEXTILE SPINNING
ELSM,Ellcot Spinning Mills Limited,TEXTILE SPINNING
EMCO,Emco Industries Limited,CABLE & ELECTRICAL GOODS
ENGL,English Leasing Limited,LEASING COMPANIES
ENGRO,Engro Corporation Limited,FERTILIZER
ENGROH,Engro Holdings Limited,INV. BANKS / INV. COS. / SECURITIES COS.
EPCL,Engro Polymer & Chemicals Limited,CHEMICAL
EPCLPS,Engro Poly(Pref),CHEMICAL
EPCLR1,,CHEMICAL
