ticker,company_name,sector_raw
MTIL,Mian Textile Industries Limited,TEXTILE COMPOSITE
MTL,Millat Tractors Limited,AUTOMOBILE ASSEMBLER
MUBT,Mubarak Textile Mills Limited,TEXTILE COMPOSITE
MUGHAL,Mughal Iron & Steel Industries Limited,ENGINEERING
MUGHALC,Mughal Iron & Steel Industries Ltd(C),ENGINEERING
MUGHALR1,Mughal Iron (R),
MUKT,Mukhtar Textile Mills Limited,TEXTILE SPINNING
MUREB,Murree Brewery Company Limited,FOOD & PERSONAL CARE PRODUCTS
MWMP,Mandviwala Mauser Plastic Industries,MISCELLANEOUS
MZSM,Mirza Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
NAFL,National Fibres Limited,SYNTHETIC & RAYON
NAGC,Nagina Cotton Mills Limited,TEXTILE SPINNING
NATF,National Foods Limited,FOOD & PERSONAL CARE PRODUCTS
NATM,Nadeem Textile Mills Limited,TEXTILE SPINNING
NBP,National Bank of Pakistan,COMMERCIAL BANKS
NCL,Nishat Chunian Limited,TEXTILE COMPOSITE
NCML,Nazir Cotton Mills Limited,TEXTILE SPINNING
NCPL,Nishat Chunian Power Limited,POWER GENERATION & DISTRIBUTION
NESTLE,Nestle Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS
NETSOL,NetSol Technologies Limited,TECHNOLOGY & COMMUNICATION
NEXT,Next Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.
NIB,NIB Bank Limited,COMMERCIAL BANKS
NICL,Nimir Industrial Chemicals Limited,CHEMICAL
NINA,Nina Industries Limited,TEXTILE COMPOSITE
NMFL,Nirala MSR Foods Limited,FOOD & PERSONAL CARE PRODUCTS
NML,Nishat Mills Limited,TEXTILE COMPOSITE
NONS,Noon Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
NORS,Noor Silk Mills Limited,SYNTHETIC & RAYON
NPL,Nishat Power Limited,POWER GENERATION & DISTRIBUTION
NPSM,N. P. Spinning Mills Limited,TEXTILE SPINNING
NRL,National Refinery Limited,REFINERY
NRSL,Nimir Resins Limited,CHEMICAL
NSRM,The National Silk & Rayon Mills Limited,SYNTHETIC & RAYON
OBOY,Oilboy Energy Limited,OIL & GAS MARKETING COMPANIES
OBOYR1,Oilboy Energy(R),OIL & GAS MARKETING COMPANIES
OCTOPUS,Octopus Digital Limited,TECHNOLOGY & COMMUNICATION
OGDC,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES
OLPL,OLP Financial Services Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.
OLPM,OLP Modaraba,MODARABAS
OLSM,Olympia Spinning and Weaving Mills Limited,TEXTILE SPINNING
OML,Olympia Mills Limited,MISCELLANEOUS
ORIXM,Orix Modaraba,MODARABAS
ORM,Orient Rental Mod,MODARABAS
OTSU,Otsuka Pakistan Limited,PHARMACEUTICALS
PABC,Pakistan Aluminium Beverage Cans Limited,MISCELLANEOUS
PACE,Pace (Pakistan) Limited,PROPERTY
PAEL,Pak Elektron Limited,CABLE & ELECTRICAL GOODS
PAKCEM,Pakcem Limited,CEMENT
PAKD,Pak Datacom Limited,TECHNOLOGY & COMMUNICATION
PAKL,Pak Leather Crafts Limited,LEATHER & TANNERIES
PAKMI,First Pak Modaraba,
PAKOXY,Pakistan Oxygen Limited,CHEMICAL
PAKQATAR,Pak Qatar Family Takaful Limited,INSURANCE
PAKRI,Pakistan Reinsurance Company Limited,INSURANCE
PAKT,Pakistan Tobacco Company Limited,TOBACCO
PASL,Pervez Ahmed Consultancy Services Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.
PASM,Paramount Spinning Mills Limited,TEXTILE COMPOSITE
PCAL,Pakistan Cables Limited,CABLE & ELECTRICAL GOODS
PCML,Punjab Cotton Mill,TEXTILE WEAVING
PDGH,Prudential Discourt & Guarantee House Lt,
PECO,Pakistan Engineering Company Limited,ENGINEERING
PGCL,Pakistan Gum & Chemicals Limited,CHEMICAL
PGIC,Pakistan Guarantee Insurance Company Limited,INSURANCE
PGLC,Pak-Gulf Leasing Company Limited,LEASING COMPANIES
PHDL,Pakistan Hotels Developers Limited,MISCELLANEOUS
PIAA,Pakistan International Airlines Corp,
PIAB,Pakistan International Airlines Corporat,
PIAHCLA,PIA Holding Company Limited,INV. BANKS / INV. COS. / SECURITIES COS.
PIAHCLB,PIA Holding Company LimitedB,INV. BANKS / INV. COS. / SECURITIES COS.
PIBTL,Pakistan International Bulk Terminal,TRANSPORT
PICL,Pakistan Industrial & Commercial Leasing,LEASING COMPANIES
PICT,Pakistan International Container,TRANSPORT
PIL,PICIC Insurance Limited,INSURANCE
PIM,Popular Islamic Modaraba,MODARABAS
PINL,Premier Insurance Limited,INSURANCE
PIOC,Pioneer Cement Limited,CEMENT
PKGI,The Pakistan General Insurance Co. Ltd.,INSURANCE
PKGP,Pakgen Power Limited,POWER GENERATION & DISTRIBUTION
PKGS,Packages Limited,"PAPER, BOARD & PACKAGING"
PMI,First Prudential Modaraba,MODARABAS
PMPK,Philip Morris (Pakistan) Limited,TOBACCO
PMRS,The Premier Sugar Mills,SUGAR & ALLIED INDUSTRIES
PNGRS,Pangrio Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
PNSC,Pakistan National Shipping Corporation,TRANSPORT
POL,Pakistan Oilfields Limited,OIL & GAS EXPLORATION COMPANIES
POML,Punjab Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES
POWER,Power Cement Limited,CEMENT
POWERPS,Power Cement (Pref),CEMENT
POWERR1,Power Cement (R),
PPL,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES
PPP,Pakistan Paper Products Limited,"PAPER, BOARD & PACKAGING"
PPVC,Pakistan PVC Limited,CHEMICAL
PQGTL,Pak Qatar General Takaful Limited,INSURANCE
PREMA,At-Tahur Limited,FOOD & PERSONAL CARE PRODUCTS
PRET,Premium Textile Mills Limited,TEXTILE SPINNING
PRIB,Prudential Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
PRIC,Progressive Insurance Company Limited,INSURANCE
PRL,Pakistan Refinery Limited,REFINERY
PRLR1,Pak Refinery (R),
PRWM,Prosperity Weaving Mills Limited,TEXTILE WEAVING
PSEL,Pakistan Services Limited,MISCELLANEOUS
PSMC,Pak Suzuki Motor Company Limited,AUTOMOBILE ASSEMBLER
PSO,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES
PSX,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.
PSYL,Pakistan Synthetics Limited,SYNTHETIC & RAYON
PTC,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION
PTL,Panther Tyres Ltd.,AUTOMOBILE PARTS & ACCESSORIES
QTECH,Quantum Data Technologies Limited,TECHNOLOGY & COMMUNICATION
QUET,Quetta Textile Mills Limited,TEXTILE COMPOSITE
QUICE,Quice Food Industries Limited,FOOD & PERSONAL CARE PRODUCTS
QUSW,Quality Steel Works Limited,
RAVT,Ravi Textile Mills Limited,TEXTILE SPINNING
RCML,Reliance Cotton Spinning Mills Limited,TEXTILE SPINNING
REDCO,Redco Textiles Limited,TEXTILE COMPOSITE
REGAL,Regal Ceramics Limited,GLASS & CERAMICS
REWM,Reliance Weaving Mills Limited,TEXTILE COMPOSITE
RICL,Reliance Insurance Company Limited,INSURANCE
RMPL,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE PRODUCTS
RPL,Roshan Packages Limited,"PAPER, BOARD & PACKAGING"
RUBY,Ruby Textile Mills Limited,TEXTILE SPINNING
RUPL,Rupali Polyester Limited,SYNTHETIC & RAYON
SAIF,Saif Textile Mills Limited,TEXTILE SPINNING
SALT,Salfi Textile Mills Limited,
SANE,Salman Noman Enterprises Limited,TEXTILE SPINNING
SANSM,Sanghar Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
SAPL,Sanofi-Aventis Pakistan Limited,PHARMACEUTICALS
SAPT,Sapphire Textile Mills Limited,TEXTILE COMPOSITE
SARC,Sardar Chemical Industries Limited,CHEMICAL
SASML,Sindh Abadgars Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
SAZEW,Sazgar Engineering Works Limited,AUTOMOBILE ASSEMBLER
SBL,Samba Bank Limited,COMMERCIAL BANKS
SCBPL,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS
SCHT,Schon Textiles Limited,TEXTILE COMPOSITE
SCL,Shield Corporation Limited,FOOD & PERSONAL CARE PRODUCTS
SDIL,Saleem Denim Industries Limited,TEXTILE WEAVING
SDOT,Sadoon Textile Industries Limited,TEXTILE WEAVING
SEARL,The Searle Company Limited,PHARMACEUTICALS
SEARLR1,Searl Company(R),
SEL,Sitara Energy Limited,POWER GENERATION & DISTRIBUTION
SEPCO,Southern Electric Power Company Limited,POWER GENERATION & DISTRIBUTION
SEPL,Security Papers Limited,"PAPER, BOARD & PACKAGING"
SERF,Service Fabrics Limited,TEXTILE WEAVING
SERT,Service Industries Textiles Limited,TEXTILE SPINNING
SFAT,Safa Textiles Limited,TEXTILE COMPOSITE
SFL,Sapphire Fibres Limited,TEXTILE COMPOSITE
SFLL,SFL Limited,TEXTILE COMPOSITE
SGABL,SG.Allied Businesses Limited,SYNTHETIC & RAYON
SGF,Service GlobalFootwear Limited,LEATHER & TANNERIES
SGFL,S.G.Fiber Limited,SYNTHETIC & RAYON
SGPL,S.G. Power Limited,POWER GENERATION & DISTRIBUTION
SHCI,Shaffi Chemical Industries Limited,CHEMICAL
SHCM,Shadman Cotton Mills Limited,TEXTILE SPINNING
SHDT,Shadab Textile Mills Limited,TEXTILE SPINNING
SHEL,Shell Pakistan Limited,OIL & GAS MARKETING COMPANIES
SHEZ,Shezan International Limited,FOOD & PERSONAL CARE PRODUCTS
SHFA,Shifa International Hospitals Limited,MISCELLANEOUS
SHJS,Shahtaj Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
SHNI,Shaheen Insurance Company Limited,INSURANCE
SHSML,Shahmurad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
SIBL,Security Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
SICL,Standard Insurance Company Limited,INSURANCE
SIEM,Siemens (Pakistan) Engineering,CABLE & ELECTRICAL GOODS
SILK,Silkbank Limited,COMMERCIAL BANKS
SINDM,Sindh Modaraba,MODARABAS
SING,Singer Pakistan,CABLE & ELECTRICAL GOODS
SITC,Sitara Chemical Industries Limited,CHEMICAL
SJTM,Sajjad Textile Mills Limited,
SKRS,Sakrand Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
SLCL,Security Leasing Corporation Limited,LEASING COMPANIES
SLGL,Secure Logistics-Trax Group Limited,TRANSPORT
SLL,SME Leasing Limited,LEASING COMPANIES
SLSO,Saleem Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
SLSOPP,,SUGAR & ALLIED INDUSTRIES
SLSOPVI,,SUGAR & ALLIED INDUSTRIES
SLYT,Sally Textile Mills Limited,TEXTILE SPINNING
SMBL,Summit Bank Limited,COMMERCIAL BANKS
SMBLCPSA,Summit Bank,COMMERCIAL BANKS
SMBLCPSB,Summit Bank B,COMMERCIAL BANKS
SMCPL,Safe Mix Concrete Limited,CEMENT
SML,Shakarganj Limited,SUGAR & ALLIED INDUSTRIES
SMLR1,,SUGAR & ALLIED INDUSTRIES
SMTM,Samin Textiles Limited,TEXTILE WEAVING
SNAI,Sana Industries Limited,TEXTILE SPINNING
SNBL,Soneri Bank Limited,COMMERCIAL BANKS
SNGP,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES
SPAC1,LSE SPAC-I Limited,INV. BANKS / INV. COS. / SECURITIES COS.
SPCL,Saudi Pak Consultancy Company Limited,LEASING COMPANIES
SPEL,SPEL Limited,"PAPER, BOARD & PACKAGING"
SPL,Sitara Peroxide Limited,CHEMICAL
SPLC,Saudi Pak Leasing Company Limited,LEASING COMPANIES
SPLCTFC3,,LEASING COMPANIES
SPSL,Sitara Petroleum Service Limited,OIL & GAS MARKETING COMPANIES
SPWL,Saif Power Limited,POWER GENERATION & DISTRIBUTION
SRR,Signature Residency Reit,REAL ESTATE INVESTMENT TRUST
SRSM,Sargodha Spinning Mills Limited,TEXTILE SPINNING
SRVI,Service Industries Limited,LEATHER & TANNERIES
SSGC,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES
SSIC,Silver Star Insurance Company Limited,INSURANCE
SSML,Saritow Spinning Mills Limited,TEXTILE SPINNING
SSOM,S.S.Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES
STCL,Shabbir Tiles & Ceramics Limited,GLASS & CERAMICS
STJT,Shahtaj Textile Limited,TEXTILE WEAVING
STL,Supernet Technologies Limited,TECHNOLOGY & COMMUNICATION
STML,Shams Textile Mills Limited,TEXTILE COMPOSITE
STPL,Siddiqsons Tin Plate Limited,MISCELLANEOUS
STYLERS,Stylers International Limited,APPAREL
SUCM,Sunshine Cotton Mills Limited,TEXTILE SPINNING
SUHJ,Suhail Jute Mills Limited,JUTE
SURAJ,Suraj Ghee Industries Limited,VANASPATI & ALLIED INDUSTRIES
SURC,Suraj Cotton Mills Limited,TEXTILE COMPOSITE
SUTM,Sunrays Textile Mills Limited,TEXTILE SPINNING
SWL,Standard Worldwide Limited,INSURANCE
SYM,Symmetry Group Limited,TECHNOLOGY & COMMUNICATION
SYS,Systems Limited,TECHNOLOGY & COMMUNICATION
SZTM,Shahzad Textile Mills Limited,TEXTILE SPINNING
TAJT,Taj Textile Mills Limited,TEXTILE COMPOSITE
TATM,Tata Textile Mills Limited,TEXTILE SPINNING
TBL,Treet Battery Limited.,AUTOMOBILE PARTS & ACCESSORIES
TCLTC,Treet Corporation (Ptc),FOOD & PERSONAL CARE PRODUCTS
TCORP,Tariq Corporation Limited,SUGAR & ALLIED INDUSTRIES
TCORPCPS,Tariq Corporation Limited(Pref),SUGAR & ALLIED INDUSTRIES
TCORPR1,Tariq Corporation (Pvt) Ltd (R),
TDIL,TPL Direct Insurance Limited,INSURANCE
TELE,Telecard Limited,TECHNOLOGY & COMMUNICATION
TGL,Tariq Glass Industries Limited,GLASS & CERAMICS
THALL,Thal Limited,AUTOMOBILE PARTS & ACCESSORIES
THAS,Taha Spinning Mills Limited,TEXTILE SPINNING
THCCL,Thatta Cement Company Limited,CEMENT
TICL,The Thal Industries Corporation Limited,SUGAR & ALLIED INDUSTRIES
TOMCL,The Organic Meat Company Limited,FOOD & PERSONAL CARE PRODUCTS
TOWL,Towellers Limited,TEXTILE COMPOSITE
TPL,TPL Corp Limited,TECHNOLOGY & COMMUNICATION
TPLI,TPL Insurance Limited,INSURANCE
TPLL,TPL Life Insurance Limited,INSURANCE
TPLP,TPL Properties Limited,PROPERTY
TPLT,TPL Trakker Limited,TECHNOLOGY & COMMUNICATION
TREET,Treet Corporation Limited,FOOD & PERSONAL CARE PRODUCTS
TREI,Transmission Engineering Industries Limited,AUTOMOBILE PARTS & ACCESSORIES
TRG,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION
TRIBL,Trust Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.
TRIPF,Tri-Pack Films Limited,MISCELLANEOUS
TRPOL,Tri-Star Polyester Limited,SYNTHETIC & RAYON
TRSM,Trust Modaraba,MODARABAS
TSBL,Trust Securities & Brokerage Limited,INV. BANKS / INV. COS. / SECURITIES COS.
TSML,Tandlianwala Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES
TSPL,Tri-Star Power Limited,POWER GENERATION & DISTRIBUTION
UBDL,United Brands Limited,MISCELLANEOUS
UBL,United Bank Limited,COMMERCIAL BANKS
UBLGSFO,,
UCAPM,Unicap Modaraba,MODARABAS
UDLI,UDL International Limited,MISCELLANEOUS
UDPL,United Distributors Pakistan Limited,MISCELLANEOUS
UNIC,The United Insurance Company,INSURANCE
UNITY,Unity Foods Limited,FOOD & PERSONAL CARE PRODUCTS
UNITYR1,Unity Foods(R),
UPFL,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE PRODUCTS
USMT,Usman Textile Mills Limited,TEXTILE COMPOSITE
UVIC,The Universal Insurance Company Limited,INSURANCE
WAFI,Wafi Energy Pakistan Limited,OIL & GAS MARKETING COMPANIES
WAHDAT,Wahdat Poultry Farm Limited,FOOD & PERSONAL CARE PRODUCTS
WAHN,Wah Noble Chemicals Limited,CHEMICAL
WASL,Wasl Mobility Modaraba,MODARABAS
WAVES,Waves Corporation Limited,CABLE & ELECTRICAL GOODS
WAVESAPP,Waves Home Appliances Limited,CABLE & ELECTRICAL GOODS
WAVESR1,Waves Singer Pakistan Limited (R),
WHALE,Waves Home Appliances Limited,CABLE & ELECTRICAL GOODS
WTL,Worldcall Telecom Limited,TECHNOLOGY & COMMUNICATION
WYETH,Wyeth Pakistan Limited,PHARMACEUTICALS
YOUW,Yousaf Weaving Mills Limited,TEXTILE WEAVING
ZAHID,Zahidjee Textile Mills Limited,TEXTILE COMPOSITE
ZAL,Zarea Limited,TECHNOLOGY & COMMUNICATION
ZELP,Zeal Pak Cement Factory Limited,CEMENT
ZHCM,Zahur Cotton Mills Limited,TEXTILE COMPOSITE
ZIL,ZIL Limited,FOOD & PERSONAL CARE PRODUCTS
ZTL,Zephyr Textiles Limited,TEXTILE WEAVING
ZUMA,Zuma Resources Limited,TECHNOLOGY & COMMUNICATION
