ticker,yahoo_ticker,total_debt,total_assets,accounts_receivable,non_compliant_investments,cash,total_revenue,interest_income,net_income,market_cap,current_price,shares_outstanding,long_business_summary,fetched_at
ALIFE,ALIFE.KA,,,,0.0,,,0.0,,10153499648.0,38.68,262500000.0,"ALIFE.KA,0P0001OMOD,5107",2026-06-01T09:01:36.650326+00:00
ALNRS,ALNRS.KA,,,,0.0,,,0.0,,1822159488.0,89.0,20473702.0,"ALNRS.KA,0P0000E6TI,550",2026-06-01T09:01:36.650326+00:00
ALQT,ALQT.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ALTN,ALTN.KA,0.0,32170634000.0,14229704000.0,0.0,552078000.0,9602464000.0,778241000.0,3085244000.0,8412247040.0,23.15,363380000.0,Altern Energy Limited,2026-06-01T09:01:36.650326+00:00
AMBL,AMBL.KA,,,,0.0,,,0.0,,5143529472.0,11.99,428984962.0,"AMBL.KA,0P0000CI91,501",2026-06-01T09:01:36.650326+00:00
AMSL,AMSL.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
AMTEX,AMTEX.KA,,,,0.0,,,0.0,,638198144.0,2.46,259430134.0,"AMTEX.KA,0P0000NR5M,1902538",2026-06-01T09:01:36.650326+00:00
ANL,ANL.KA,,,,0.0,,,0.0,,3459282176.0,7.04,485409731.0,"ANL.KA,0P0000EPBJ,464084",2026-06-01T09:01:36.650326+00:00
ANNT,ANNT.KA,,,,0.0,,,0.0,,,13.0,,"ANNT.KA,0P0000B79F,0",2026-06-01T09:01:36.650326+00:00
ANSM,ANSM.KA,,,,0.0,,,0.0,,326153376.0,5.81,56136555.0,Ansari Sugar Mills Limited,2026-06-01T09:01:36.650326+00:00
ANTM,ANTM.KA,,,,0.0,,,0.0,,94281600.0,9.76,9660000.0,"ANTM.KA,0P0000C7WQ,0",2026-06-01T09:01:36.650326+00:00
APL,APL.KA,0.0,105279116000.0,7646562000.0,0.0,2568995000.0,526316756000.0,931884000.0,13821630000.0,50964525056.0,409.63,124416000.0,Attock Petroleum Limited,2026-06-01T09:01:36.650326+00:00
APOT,APOT.KA,,,,0.0,,,0.0,,,41.0,,"APOT.KA,0P0000BR79,0",2026-06-01T09:01:36.650326+00:00
AQTM,AQTM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ARCTM,ARCTM.KA,,,,0.0,,,0.0,,268897664.0,20.41,13174800.0,"ARCTM.KA,0P0000BLA5,298162",2026-06-01T09:01:36.650326+00:00
ARM,ARM.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ARMG,ARMG.KA,,,,0.0,,,0.0,,,,,,2026-06-01T09:01:36.650326+00:00
ARPAK,ARPAK.KA,,,,0.0,,,0.0,,209120000.0,52.28,4000000.0,"ARPAK.KA,0P0000AMZ0,0",2026-06-01T09:01:36.650326+00:00
ARPL,ARPL.KA,243698000.0,15727740000.0,5700521000.0,0.0,985207000.0,27406657000.0,0.0,1176961000.0,10704611328.0,309.71,34563341.0,"ARPL.KA,0P0000CFAF,21562",2026-06-01T09:01:36.650326+00:00
ARUJ,ARUJ.KA,,,,0.0,,,0.0,,379726048.0,36.31,10457890.0,Aruj Industries Limited,2026-06-01T09:01:36.650326+00:00
